"spkid","full_name","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
1001199,"     C/1984 N1 (Austin)","1984 N1",Austin,C,,,0,,,10.8,,15.75,,,,,,,,,,,,,,,"JPL 2",2445956.5,45956,1984-09-13.0,J2000,0.9998,1921,0.291,164.15,171.58,353.13,0.00,3842.03,1.17e-05,2445924.64,1984-08-12.1,3.08e+07,8.42e+04,0.236,92,0.403,-0.641,1.9e-06,2.4e+01,5.0e-07,8.8e-05,5.4e-04,5.1e-04,7.1e-06,4.9e+01,2.2e-07,5.6e-05,5.8e+05,COM,"Otto Matic",142,1984-07-08,1984-11-27,100,,,,.879,,,,,,,,,
1001200,"     C/1984 O2 (SOLWIND)","1984 O2",SOLWIND,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,2445910.1,45910,1984-07-28.5,J2000,1.0000,,0.015,136.39,330.44,56.67,,,,2445910.06,1984-07-28.5,,,,,,,,,,,,,,,,,,PAR,,0,1984-07-28,1984-07-28,,,,,,T,,,,,,,,
1001681,"     C/1984 Q1 (SOLWIND)","1984 Q1",SOLWIND,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,2445935.7,45935,1984-08-23.2,J2000,1.0000,,0.005,144.14,355.72,81.04,,,,2445935.72,1984-08-23.2,,,,,,,,,,,,,,,,,,PAR,,1,1984-08-22,1984-08-23,8,,,,,T,,,,,,,,
1001682,"     C/1984 R1 (SOLWIND)","1984 R1",SOLWIND,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,2445960.9,45960,1984-09-17.4,J2000,1.0000,,0.105,36.92,152.84,78.74,,,,2445960.92,1984-09-17.4,,,,,,,,,,,,,,,,,,PAR,,1,1984-09-15,1984-09-16,16,,,,,T,,,,,,,,
1001201,"     C/1984 S1 (Meier)","1984 S1",Meier,C,,,0,,,,,,,,,,,,,,,,,,,,"JPL 2",2445966.5,45966,1984-09-23.0,J2000,0.9990,840.1,0.857,145.61,11.71,128.08,360.00,1679.30,4.048e-05,2445987.49,1984-10-13.9,8.89e+06,2.43e+04,0.044,17.1,0.0262,-0.941,2.9e-03,2.4e+03,1.0e-03,6.4e-03,2.9e-02,1.0e-01,3.6e-03,4.7e+03,1.7e-04,7.4e-02,3.8e+07,COM,"Otto Matic",18,1984-09-18,1984-10-06,12,,,,1.2937,T,,,,,,,,
1001202,"     C/1984 U1 (Shoemaker)","1984 U1",Shoemaker,C,,,0,,,8.1,11.2,7.,5.,0.03,,,,,,,,,,,,,"JPL 2",2446231.5,46231,1985-06-15.0,J2000,0.9944,981.7,5.489,179.21,238.30,182.82,0.01,1957.84,3.204e-05,2445946.95,1984-09-03.4,1.12e+07,3.08e+04,4.5,1.75e+03,0.479,-2.9,5.1e-05,9.0e+00,2.6e-05,1.6e-04,8.6e-03,8.6e-03,1.3e-04,1.8e+01,4.4e-07,4.0e-03,1.6e+05,COM,"Otto Matic",2034,1982-01-30,1987-08-26,60,,,,.6849,,,,,,,,,
1001203,"     C/1984 U2 (Shoemaker)","1984 U2",Shoemaker,C,,,0,,,10.1,,20.75,,,,,,,,,,,,,,,"JPL 2",2446068.5,46068,1985-01-03.0,J2000,0.9709,41.75,1.215,13.88,223.48,229.21,360.00,82.29,0.003654,2446069.39,1985-01-03.8,9.85e+04,270,0.291,113,0.235,1.44,2.4e-05,3.5e-02,4.3e-06,1.6e-04,2.2e-04,2.6e-04,3.8e-06,6.8e-02,4.6e-06,1.7e-04,1.2e+02,COM,"Otto Matic",209,1984-10-25,1985-05-22,147,,,4,.72407,,,,,,,,,
1000547,"     C/1984 V1 (Levy-Rudenko)","1984 V1",Levy-Rudenko,C,,,0,,,9.5,,23.75,,,,,,,,,,,,,,,"JPL 8",2446071.5,46071,1985-01-06.0,J2000,0.9992,1163,0.918,65.71,331.17,82.74,0.00,2326.05,2.483e-05,2446048.76,1984-12-14.2,1.45e+07,3.97e+04,0.424,165,2.41,0.493,1.5e-05,2.1e+01,3.0e-06,3.3e-04,1.7e-04,3.8e-04,1.6e-05,4.3e+01,6.9e-07,3.2e-04,4.0e+05,COM,"Otto Matic",190,1984-11-15,1985-05-24,162,,,,.84312,,,,,,,,,
1001204,"     C/1984 W2 (Hartley)","1984 W2",Hartley,C,,,0,,,,,,,,,,,,,,,,,,,,"JPL 2",2446479.5,46479,1986-02-18.0,J2000,0.9995,7590,4.000,89.33,250.20,255.27,0.00,15175.96,1.491e-06,2446336.90,1985-09-28.3,2.42e+08,6.61e+05,3.65,1.42e+03,0.987,0.03,3.8e-05,5.5e+02,1.9e-05,1.3e-04,1.3e-04,6.2e-04,2.3e-05,1.1e+03,1.6e-07,4.1e-03,2.6e+07,COM,"Otto Matic",1278,1984-11-17,1988-05-18,53,,,,.70355,,,,,,,,,
1001205,"     C/1985 K1 (Machholz)","1985 K1",Machholz,C,,,0,,,,,,,,,,,,,,,,,,,,"JPL 2",2446235.5,46235,1985-06-19.0,J2000,1.0000,,0.106,16.28,195.43,274.50,,,,2446245.24,1985-06-28.7,,,0.208,80.9,1.38,,7.2e-05,,2.9e-06,1.1e-03,2.6e-03,1.7e-03,,,,6.4e-04,,PAR,"Otto Matic",102,1985-05-28,1985-09-07,30,,,,.69962,T,,,,,,,,
1000548,"     C/1985 R1 (Hartley-Good)","1985 R1",Hartley-Good,C,,,0,,,8.5,,17.75,,,,,,,,,,,,,,,"JPL 6",2446371.5,46371,1985-11-02.0,J2000,0.9999,6159,0.695,79.93,358.40,87.03,360.00,12317.13,2.039e-06,2446408.62,1985-12-09.1,1.77e+08,4.83e+05,0.221,86.1,2.97,0.182,1.4e-05,7.8e+02,5.0e-06,4.6e-04,9.5e-05,6.5e-04,1.4e-05,1.6e+03,3.9e-07,3.0e-04,3.4e+07,COM,"Otto Matic",187,1985-09-13,1986-03-19,165,,,,.72989,,1.2e-08,2.5e-09,-2.3e-09,1.5e-09,,,,
1001206,"     C/1985 T1 (Thiele)","1985 T1",Thiele,C,,,0,,,9.9,,13.5,,,,,,,,,,,,,,,"JPL 2",2446415.5,46415,1985-12-16.0,J2000,0.9833,78.79,1.317,139.07,53.01,53.00,360.00,156.26,0.001409,2446418.71,1985-12-19.2,2.55e+05,699,0.514,200,0.233,-1,8.9e-06,4.2e-02,1.3e-06,1.2e-04,7.1e-05,1.4e-04,3.7e-06,8.3e-02,1.1e-06,1.6e-04,2.0e+02,COM,"Otto Matic",541,1985-10-09,1987-04-03,133,,,3,.73639,,,,,,,,,
1001207,"     C/1986 E1 (Shoemaker)","1986 E1",Shoemaker,C,,,0,,,,,,,,,,,,,,,,,,,,"JPL 2",2446598.5,46598,1986-06-17.0,J2000,0.9468,67.6,3.594,159.81,294.84,123.57,0.17,131.62,0.001773,2446500.78,1986-03-11.2,2.03e+05,556,2.66,1.03e+03,0.339,-2.1,1.1e-04,1.4e-01,4.6e-05,3.1e-04,7.3e-04,2.8e-03,5.2e-04,2.7e-01,5.5e-06,1.4e-02,6.3e+02,COM,"Otto Matic",298,1986-03-04,1986-12-27,37,,,4,.59391,,,,,,,,,
1001208,"     C/1986 N1 (Churyumov-Solodovnikov)","1986 N1",Churyumov-Solodovnikov,C,,,0,,,8.3,,10.,,,,,,,,,,,,,,,"JPL 2",2446809.5,46809,1987-01-14.0,J2000,0.9992,3332,2.642,114.92,134.62,157.74,0.00,6661.93,5.124e-06,2446556.95,1986-05-06.4,7.03e+07,1.92e+05,1.68,654,2.29,-0.847,3.3e-05,1.4e+02,2.9e-05,1.6e-04,7.1e-05,1.2e-03,8.1e-05,2.8e+02,3.2e-07,3.3e-03,4.4e+06,COM,"Otto Matic",996,1986-07-15,1989-04-06,86,,,,.77296,,,,,,,,,
1000552,"     C/1986 P1 (Wilson)","1986 P1",Wilson,C,,,0,,,5.3,11.5,7.75,5.,0.03,,,,,,,,,,,,,"JPL 7",2446824.5,46824,1987-01-29.0,J2000,1.0003,-3809,1.200,147.12,111.67,238.31,-0.00,,4.193e-06,2446906.28,1987-04-20.7,,,0.391,152,0.0269,,5.7e-06,6.9e+01,2.8e-06,6.2e-05,9.1e-05,1.9e-04,9.3e-06,,1.1e-07,1.8e-04,,HYP,"Otto Matic",980,1986-08-05,1989-04-11,671,,,,.53256,,1.8e-08,1.3e-09,2.4e-11,6.4e-10,,,,
1001211,"     C/1986 V1 (Sorrells)","1986 V1",Sorrells,C,,,0,,,5.5,,13.5,,,,,,,,,,,,,,,"JPL 2",2446850.5,46850,1987-02-24.0,J2000,0.9999,2.324e+04,1.721,160.58,74.80,70.23,360.00,46486.95,2.781e-07,2446864.16,1987-03-09.6,1.29e+09,3.54e+06,0.827,322,0.0825,-1.53,5.0e-06,1.6e+03,1.1e-06,5.0e-05,8.6e-05,1.4e-04,3.9e-07,3.2e+03,2.8e-08,2.5e-04,1.3e+08,COM,"Otto Matic",321,1986-11-02,1987-09-19,360,,,,.63322,,,,,,,,,
1001212,"     C/1987 A1 (Levy)","1987 A1",Levy,C,,,0,,,10.8,,21.25,,,,,,,,,,,,,,,"JPL 2",2446845.5,46845,1987-02-19.0,J2000,1.0004,-2336,0.921,96.58,17.12,95.25,0.00,,8.728e-06,2446782.03,1986-12-17.5,,,0.476,185,2.13,,1.3e-04,7.9e+02,1.1e-04,4.1e-03,7.8e-04,8.9e-03,2.8e-04,,4.4e-06,3.7e-03,,HYP,"Otto Matic",136,1987-01-08,1987-05-24,62,,,,.82893,,,,,,,,,
